# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
1e-05   6.567500471679587e-12    4.6212921019147975e-12   8.885956944067398e-12
1.0079050901539293e-05   6.777619441174872e-12    4.7691357992488275e-12   9.170246258342684e-12
1.0158726707582003e-05   6.994461441769765e-12    4.9217099151118264e-12   9.463630430095263e-12
1.0239032358054566e-05   7.2182419984632e-12    5.079166559768891e-12   9.766401664061522e-12
1.0319972831933986e-05   7.449179738498657e-12    5.241657909032687e-12   1.0078858858921973e-11
1.0401553147556524e-05   7.687506853702258e-12    5.40934773556365e-12   1.0401312805540006e-11
1.0483778362928845e-05   7.933459547524299e-12    5.582403478462705e-12   1.073408045431501e-11
1.056665357604161e-05   51.76992865521772    51.76992853666832   51.76992841812665
1.0650183925185555e-05   52.16274065564183    52.16274053429692   52.162740412960005
1.0734374589270075e-05   52.558533161337124    52.558533037130786   52.5585329129327
1.0819230788144301e-05   52.95732877464717    52.95732864751194   52.95732852038522
1.0904757782920749e-05   53.3591502691298    53.3591501389966   53.35915000887219
1.0990960876301499e-05   53.76402059084906    53.764020457647206   53.764020324454414
1.1077845412906972e-05   54.17196285968071    54.17196272333783   54.171962587004295
1.1165416779607292e-05   54.58300037062696    54.583000231068986   54.58300009152065
1.1253680405856283e-05   54.9971565951398    54.99715645229092   54.997156309451995
1.1342641764028082e-05   55.41445518245689    55.4144550362395   55.41445489003239
1.1432306369756448e-05   55.83491996094368    55.83491981127836   55.83491966162364
1.1522679782276709e-05   56.25857493945    56.258574786255416   56.25857463307179
1.1613767604770466e-05   56.68544430867364    56.68544415186659   56.68544399507085
1.1705575484712956e-05   57.115552443467074    57.115552282962376   57.11555212246933
1.1798109114223238e-05   57.548923921722036    57.54892375743249   57.548923593154974
1.1891374230417065e-05   57.985583524840074    57.98558335667642   57.98558318852519
1.1985376615762624e-05   58.4255562233691    58.42555605124   58.42555587912371
1.2080122098439021e-05   58.8688671778382    58.86886700165013   58.868866825475294
1.2175616552697653e-05   59.31554174020538    59.31554155986264   59.31554137953355
1.22718658992264e-05   59.76560545531725    59.76560527072186   59.76560508614056
1.2368876105516716e-05   60.21908406238257    60.21908387343426   60.21908368450048
1.2466653186233606e-05   60.676003496454356    60.67600330305045   60.676003109661565
1.2565203203588553e-05   61.1363898899237    61.13638969195916   61.13638949401011
1.2664532267715359e-05   61.600269574026676    61.60026937139394   61.6002691687772
1.2764646537048994e-05   62.06766908036047    62.06766887294947   62.06766866555497
1.2865552218707407e-05   62.538615142412496    62.53861493011056   62.53861471782564
1.2967255568876371e-05   63.013134690454386    63.01313447314616   63.013134255855505
1.306976289319738e-05   63.49125482801907    63.49125460558654   63.49125438317213
1.3173080547158584e-05   63.97300285468759    63.973002627009876   63.973002399350854
1.3277214936488844e-05   64.4584062766954    64.45840604364884   64.45840581062157
1.3382172517554883e-05   64.94749280849685    64.9474925699548   64.9474923314327
1.348795979776159e-05   65.44029037433418    65.44029013016711   65.4402898860206
1.3594583335955466e-05   65.93682710982291    65.93682685989815   65.9368266099946
1.3702049742831299e-05   66.43713136354923    66.43713110773102   66.43713085193467
1.3810365681342002e-05   66.94123169867626    66.9412314368256   66.94123117499754
1.391953786711174e-05   67.44915689456595    67.44915662654059   67.44915635853854
1.402957306885229e-05   67.96093594840946    67.9609356740638   67.96093539974223
1.4140478108782704e-05   68.47659807687396    68.476597796059   68.47659751526884
1.4252259863052294e-05   68.99617271790866    68.9961724304718   68.99617214306055
1.4364925262166948e-05   69.51968954002005    69.51968924580513   69.51968895161667
